outlet_name,day_of_week,opening_time,closing_time,is_closed
Subway Menara UOA Bangsar,Monday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Tuesday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Wednesday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Thursday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Friday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Saturday,08:00:00,20:00:00,False
Subway Menara UOA Bangsar,Sunday,08:00:00,20:00:00,False
Subway One Utama,Monday,08:00:00,22:00:00,False
Subway One Utama,Tuesday,08:00:00,22:00:00,False
Subway One Utama,Wednesday,08:00:00,22:00:00,False
Subway One Utama,Thursday,08:00:00,22:00:00,False
Subway One Utama,Friday,08:00:00,22:30:00,False
Subway One Utama,Saturday,08:00:00,22:30:00,False
Subway One Utama,Sunday,08:00:00,22:00:00,False
Subway Jln Pinang,Saturday,08:00:00,21:00:00,False
Subway Jln Pinang,Sunday,11:30:00,18:30:00,False
Subway UOA Damansara,Saturday,08:00:00,20:30:00,False
Subway UOA Damansara,Sunday,,,True
Subway The Mines,Monday,10:00:00,22:00:00,False
Subway The Mines,Tuesday,10:00:00,22:00:00,False
Subway The Mines,Wednesday,10:00:00,22:00:00,False
Subway The Mines,Thursday,10:00:00,22:00:00,False
Subway The Mines,Friday,10:00:00,22:00:00,False
Subway The Mines,Saturday,10:00:00,22:00:00,False
Subway The Mines,Sunday,10:00:00,22:00:00,False
Subway Mont Kiara,Monday,10:00:00,22:00:00,False
Subway Mont Kiara,Tuesday,10:00:00,22:00:00,False
Subway Mont Kiara,Wednesday,10:00:00,22:00:00,False
Subway Mont Kiara,Thursday,10:00:00,22:00:00,False
Subway Mont Kiara,Friday,10:00:00,22:00:00,False
Subway Mont Kiara,Saturday,10:00:00,22:00:00,False
Subway Mont Kiara,Sunday,10:00:00,22:00:00,False
Subway Amcorp Mall,Friday,09:00:00,22:00:00,False
Subway Amcorp Mall,Sunday,10:00:00,22:00:00,False
Subway Avenue K,Monday,08:00:00,22:00:00,False
Subway Avenue K,Tuesday,08:00:00,22:00:00,False
Subway Avenue K,Wednesday,08:00:00,22:00:00,False
Subway Avenue K,Thursday,08:00:00,22:00:00,False
Subway Avenue K,Friday,08:00:00,22:00:00,False
Subway Avenue K,Saturday,08:00:00,22:00:00,False
Subway Avenue K,Sunday,08:00:00,22:00:00,False
Subway Center Point,Monday,08:00:00,22:00:00,False
Subway Center Point,Wednesday,08:00:00,22:30:00,False
Subway Center Point,Thursday,08:00:00,21:00:00,False
Subway Center Point,Saturday,08:00:00,23:00:00,False
Subway Center Point,Sunday,08:00:00,22:30:00,False
Subway Shell Sunway Mentari,Monday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Tuesday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Wednesday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Thursday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Friday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Saturday,08:00:00,22:00:00,False
Subway Shell Sunway Mentari,Sunday,08:00:00,22:00:00,False
Subway Berjaya Times Square,Monday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Tuesday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Wednesday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Thursday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Friday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Saturday,10:00:00,22:00:00,False
Subway Berjaya Times Square,Sunday,10:00:00,22:00:00,False
Subway Capsquare,Saturday,08:00:00,21:00:00,False
Subway Capsquare,Sunday,,,True
Subway University Malaya,Friday,08:00:00,18:30:00,False
Subway University Malaya,Saturday,08:00:00,15:00:00,False
Subway University Malaya,Sunday,08:00:00,15:00:00,False
Subway Wangsa Walk,Monday,09:30:00,21:30:00,False
Subway Wangsa Walk,Tuesday,09:30:00,21:30:00,False
Subway Wangsa Walk,Wednesday,09:30:00,21:30:00,False
Subway Wangsa Walk,Thursday,09:30:00,21:30:00,False
Subway Wangsa Walk,Friday,09:30:00,21:30:00,False
Subway Wangsa Walk,Saturday,09:30:00,21:30:00,False
Subway Wangsa Walk,Sunday,09:30:00,21:30:00,False
Subway TTDI,Monday,08:30:00,21:00:00,False
Subway TTDI,Tuesday,08:30:00,21:00:00,False
Subway TTDI,Wednesday,08:30:00,21:00:00,False
Subway TTDI,Thursday,08:30:00,21:00:00,False
Subway TTDI,Friday,08:30:00,21:00:00,False
Subway TTDI,Saturday,08:30:00,21:00:00,False
Subway TTDI,Sunday,08:30:00,21:00:00,False
Subway Plaza Shah Alam,Monday,09:30:00,21:30:00,False
