name,raw_operating_hours,address,waze_link,latitude,longitude
Subway Menara UOA Bangsar,"Monday - Sunday, 8:00 AM - 8:00 PM","Jalan Bangsar Utama 1, Unit 1-2-G, Menara UOA Bangsar, Kuala Lumpur, 59000",https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-menara-uoa-bangsar?place=ChIJPWFRH5RJzDERvHvlO1uTQpY,3.126969,101.6768848
Subway One Utama,"0800 - 2200 (Sun - Thur)
0800 - 2230 (Fri & Sat)","318A One Utama, Lower Ground Floor, New Wing, 1 Utama Shopping Centre, Petaling Jaya, 47800",https://www.waze.com/en/live-map/directions/my/selangor/pj/1-utama-shopping-centre?place=ChIJL-Qvn9JOzDERBLmeTTrrgf0,3.1508396,101.6154218
Subway Jln Pinang,"Monday - Saturday, 8:00 AM – 9:00PM
Sunday, 11:30 AM – 6:30PM","G9, Wisma UOA II, 19, Jalan Pinang, Kuala Lumpur, 50450",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-jalan-pinang-kl?place=ChIJIzvym9Q3zDER9MZj809Opn0,3.1525875,101.712256
Subway UOA Damansara,"Monday - Saturday, 8:00 AM – 8:30PM
Sunday, Closed","Unit 50-G-5, Ground Floor, Wisma UOA Damansara, No. 50, Jalan Dungun, Kuala Lumpur, 50490",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-wisma-uoa-damansara?place=ChIJa5Vpq1RIzDER8-Wwe3eFNUI,3.1517288,101.6660061
Subway The Mines,"Monday - Sunday, 10:00 AM - 10:00 PM","Lot L1-93, Level 1, Mines Shopping Fair,Jln Dulang, Mines Resort City, Seri Kembangan, 43300","https://www.waze.com/en/live-map/directions/subway-the-mines-shopping-mall-jalan-dulang,-l1-93-seri-kembangan?place=w.66650142.666632495.27412970",3.028038,101.7190912
Subway Mont Kiara,"Monday - Sunday, 10:00 AM - 10:00 PM","E-01-16 ,Block E, Plaza Mont Kiara, 2 Jalan Kiara, Mont Kiara, Kuala Lumpur, 50480",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-plaza-montkiara?place=ChIJ62Fw6vFIzDEReI7qDH2RtxQ,3.1658129,101.6510419
Subway Amcorp Mall,"Monday - Friday, 9:00 AM – 10:00PM
Saturday & Sunday, 10:00 AM – 10:00PM","(Canopy Area), Lot KG-05, 18 Jln Persiaran, Ground Floor, Barat, Petaling Jaya, 46050",https://www.waze.com/en/live-map/directions/my/selangor/pj/subway-@-amcorp-mall-pj?place=ChIJgcEy_dpLzDERqz_XQPpVA2U,3.2697832,101.6734354
Subway Avenue K,"Monday - Sunday, 8:00 AM - 10:00 PM","Lot UC-8 & 9, Upper Concourse Level, Avenue K, No. 156, Jalan Ampang, Kuala Lumpur, 50450","https://www.waze.com/en/live-map/directions/subway-avenue-k-lot-uc-8-and-9,-upper-concourse-level,-avenue-k-kuala-lumpur?place=w.66650144.666566972.27413004",3.159418,101.7134125
Subway Center Point,"Monday, 8:00 AM – 10:00PM
Tuesday - Wednesday, 8:00 AM – 10:30PM
Thursday, 8:00 AM – 9:00PM
Friday & Saturday, 8:00 AM – 11:00PM
Sunday, 8:00 AM – 10:30PM","Lebuh Bandar Utama, Center Point, Lot G104B Gr Floor, Petaling Jaya, 47800","https://www.waze.com/en/live-map/directions/subway-lebuh-bandar-utama-lebuh-bandar-utama,-center-point,-lot-g104b-petaling-jaya?place=w.66584607.665911610.27441776",3.1467185,101.6119073
Subway Shell Sunway Mentari,Monday - Sunday (08:00AM - 10:00PM),"1, Jalan PJS 8/9 (Shell) Bandar Sunway, 46000 Selangor","https://waze.com/ul?ll=3.079525,101.609623",3.0795325,101.6096323
Subway Berjaya Times Square,"Monday - Sunday, 10:00 AM - 10:00 PM","LG-08A, Berjaya Times Square, No. 1, Jalan Imbi, Kuala Lumpur, 55100","https://www.waze.com/en/live-map/directions/subway-berjaya-times-square-lot-03-103,-3rd-floor,-berjaya-times-square-kuala-lumpur?place=w.66650143.666566970.27413449",3.1425177,101.7103847
Subway Capsquare,"Monday - Saturday, 8:00 AM – 9:00PM
Sunday, Closed","Ground Floor, Unit 01-02, Cap Square Tower, 10 Jalan Munshi Abdullah, Kuala Lumpur, 50100",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-capsquare?place=ChIJy-MVCLdJzDER31pWsrn_WZE,3.1542071,101.6987835
